number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
122,145.15328979492188,2026-01-03 02:01:05.838574,2026-01-03 02:01:32.415250,0 days 00:00:26.576676,relu,0.1274760598993359,30,0.0588178072053533,2,True,standard,0.0003659822167246603,COMPLETE
123,144.89334106445312,2026-01-03 02:01:32.424250,2026-01-03 02:01:58.941951,0 days 00:00:26.517701,relu,0.1464080763296253,31,0.07033203348703139,2,True,standard,0.0003698577362243537,COMPLETE
124,178.66104125976562,2026-01-03 02:01:58.950951,2026-01-03 02:02:25.391185,0 days 00:00:26.440234,relu,0.14691392136256196,32,0.003759017010669159,2,True,standard,0.00035698633013069833,COMPLETE
125,141.7342529296875,2026-01-03 02:02:25.400187,2026-01-03 02:02:51.905871,0 days 00:00:26.505684,relu,0.10880258929155404,31,0.07197020552136453,2,True,standard,0.00028946210783777076,COMPLETE
126,186.34263610839844,2026-01-03 02:02:51.912872,2026-01-03 02:03:19.547553,0 days 00:00:27.634681,mish,0.10899731307397516,31,0.0828578274649674,2,True,minmax,0.0003055495936229447,COMPLETE
127,198.39419223361546,2026-01-03 02:03:19.555556,2026-01-03 02:03:45.381764,0 days 00:00:25.826208,relu,0.1397721023935325,31,0.0009811078061181784,2,False,standard,0.00024257674778528014,COMPLETE
128,148.2598876953125,2026-01-03 02:03:45.390762,2026-01-03 02:04:11.971449,0 days 00:00:26.580687,relu,0.1134989619420106,29,0.05880351882403903,2,True,standard,0.00040388400100282225,COMPLETE
129,155.66976928710938,2026-01-03 02:04:11.979450,2026-01-03 02:04:35.960620,0 days 00:00:23.981170,relu,0.2800927236094629,32,0.07180712930628176,1,True,standard,0.00029464602347086406,COMPLETE
130,142.24575805664062,2026-01-03 02:04:35.969618,2026-01-03 02:05:02.574329,0 days 00:00:26.604711,relu,0.1065079351639672,27,0.08694970190537302,2,True,standard,0.0003348395707418425,COMPLETE
131,144.47386169433594,2026-01-03 02:05:02.582329,2026-01-03 02:05:29.158027,0 days 00:00:26.575698,relu,0.12372197528634779,30,0.08585807842087297,2,True,standard,0.00037807278925733377,COMPLETE
