number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_gaussian_noise,params_hidden_size,params_lr,params_scale_target,params_scaler,params_weight_decay,state
85,163.162841796875,2026-01-20 17:10:32.070407,2026-01-20 17:10:34.243886,0 days 00:00:02.173479,relu,0.16351289836683763,0.021058545877788513,24,0.060638116249772105,True,standard,0.00011674987397233925,COMPLETE
86,173.26693725585938,2026-01-20 17:10:34.249266,2026-01-20 17:10:36.404561,0 days 00:00:02.155295,relu,0.14561538983988068,0.008425875001077398,21,0.03317248716651005,True,standard,6.386685462293121e-05,COMPLETE
87,175.14231872558594,2026-01-20 17:10:36.408790,2026-01-20 17:10:38.642199,0 days 00:00:02.233409,silu,0.11106560152295342,0.015507354383285859,56,0.080832184584401,True,standard,0.0002686105301536246,COMPLETE
88,211.3996838378906,2026-01-20 17:10:38.646325,2026-01-20 17:10:40.695039,0 days 00:00:02.048714,relu,0.13262068979986782,0.003597173209582404,26,0.0009706925345592633,False,standard,1.5927423018265685e-05,COMPLETE
89,168.9995574951172,2026-01-20 17:10:40.699541,2026-01-20 17:10:42.862571,0 days 00:00:02.163030,relu,0.1824343483642093,0.01290804671419847,23,0.06697681409374283,True,standard,0.0005322968694034573,COMPLETE
90,166.7536163330078,2026-01-20 17:10:42.866160,2026-01-20 17:10:45.043767,0 days 00:00:02.177607,relu,0.19969898021927032,0.01935797118091424,29,0.08662840553392522,True,standard,0.0001714613837877888,COMPLETE
91,168.75112915039062,2026-01-20 17:10:45.047455,2026-01-20 17:10:47.215304,0 days 00:00:02.167849,relu,0.17292270092584586,0.0066185352336958795,24,0.05750263041220684,True,standard,0.00012109588887334717,COMPLETE
92,163.57711791992188,2026-01-20 17:10:47.219944,2026-01-20 17:10:49.375687,0 days 00:00:02.155743,relu,0.16002853895755936,0.021552455731105265,24,0.06902067152822453,True,standard,2.2687129703569357e-06,COMPLETE
93,178.21444702148438,2026-01-20 17:10:49.379706,2026-01-20 17:10:51.528437,0 days 00:00:02.148731,relu,0.11824931388956077,0.0020702640633721743,25,0.058667999054338754,True,minmax,0.0001173454582568869,COMPLETE
94,162.70126342773438,2026-01-20 17:10:51.532764,2026-01-20 17:10:53.740008,0 days 00:00:02.207244,relu,0.16513382938521132,0.009662299431005869,27,0.08834611110508066,True,standard,0.0001438932675990201,COMPLETE
95,174.86424255371094,2026-01-20 17:10:53.744010,2026-01-20 17:10:56.029875,0 days 00:00:02.285865,mish,0.14610533611529905,0.00961182952966313,31,0.08335097577874176,True,standard,0.00023209318770524626,COMPLETE
96,165.3925018310547,2026-01-20 17:10:56.034428,2026-01-20 17:10:58.203285,0 days 00:00:02.168857,relu,0.10533701155434212,0.004311347358429577,27,0.09846846136551768,True,standard,0.00016895773810239977,COMPLETE
97,179.80294799804688,2026-01-20 17:10:58.207314,2026-01-20 17:11:00.394128,0 days 00:00:02.186814,gelu,0.12695031011714286,0.007230746084460839,28,0.04353372605124129,True,none,0.0002954188154557543,COMPLETE
98,171.2806854248047,2026-01-20 17:11:00.398530,2026-01-20 17:11:02.575978,0 days 00:00:02.177448,relu,0.19025857844590682,0.016838644310973715,22,0.0707661398303144,True,standard,0.00014093321239990326,COMPLETE
99,162.2412567138672,2026-01-20 17:11:02.579990,2026-01-20 17:11:04.743104,0 days 00:00:02.163114,relu,0.13524545088765702,0.025250184804018617,21,0.08612908301537345,True,standard,0.00010054710909871296,COMPLETE
100,169.60104370117188,2026-01-20 17:11:04.747393,2026-01-20 17:11:06.900633,0 days 00:00:02.153240,relu,0.1331715923350534,0.0134809469942162,21,0.04897738873487611,True,standard,9.444216811487107e-05,COMPLETE
