number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler_post_pca,params_weight_decay,state
133,,2026-01-02 14:33:00.461000,2026-01-02 14:33:42.770740,0 days 00:00:42.309740,mish,0.21836618771354113,49,0.09524637949621158,False,minmax,0.0004279710987903595,FAIL
134,,2026-01-02 14:33:42.779440,2026-01-02 14:34:25.052676,0 days 00:00:42.273236,mish,0.21033009703153235,48,0.09264879802818708,False,minmax,0.0004914970232321825,FAIL
135,,2026-01-02 14:34:25.058873,2026-01-02 14:35:02.691499,0 days 00:00:37.632626,mish,0.2129798104104091,14,0.0962369788009572,False,minmax,0.0004700584782728644,FAIL
136,,2026-01-02 14:35:02.697627,2026-01-02 14:35:44.567943,0 days 00:00:41.870316,mish,0.21721880951005357,48,0.09830757230301114,False,minmax,0.0004144091668649119,FAIL
137,,2026-01-02 14:35:44.575250,2026-01-02 14:36:22.082758,0 days 00:00:37.507508,mish,0.2113324399560231,14,0.09171449879783578,False,minmax,0.0004293993223647713,FAIL
138,,2026-01-02 14:36:22.088640,2026-01-02 14:37:03.777288,0 days 00:00:41.688648,mish,0.20799577232757227,47,0.09591235104687455,False,minmax,0.0004668823885759819,FAIL
139,,2026-01-02 14:37:03.783262,2026-01-02 14:37:41.246282,0 days 00:00:37.463020,mish,0.2186246704190805,14,0.08192650088083957,False,minmax,0.00043790140209982103,FAIL
140,,2026-01-02 14:37:41.253480,2026-01-02 14:38:23.126348,0 days 00:00:41.872868,mish,0.20182119297129278,47,0.09719075048528054,False,minmax,0.0003558142121065786,FAIL
141,,2026-01-02 14:38:23.132521,2026-01-02 14:39:00.816718,0 days 00:00:37.684197,mish,0.21518714800883076,14,0.07686121117746088,False,minmax,0.00036193682474954344,FAIL
142,,2026-01-02 14:39:00.822941,2026-01-02 14:39:39.006047,0 days 00:00:38.183106,mish,0.21556720815287742,14,0.09210094455002257,False,minmax,0.0004864005610701306,FAIL
143,,2026-01-02 14:39:39.013516,2026-01-02 14:40:21.122588,0 days 00:00:42.109072,mish,0.2207395836575831,49,0.09734035937932344,False,minmax,0.0004379212993197659,FAIL
144,,2026-01-02 14:40:21.128731,2026-01-02 14:41:03.125152,0 days 00:00:41.996421,mish,0.21468807969648834,48,0.07665911315367546,False,minmax,0.0005010151233360135,FAIL
